alpha_deg,branch,batch,iterations,C_L
0.0,upstroke,1,200,-0.0001197900709722403
0.0,upstroke,2,400,-0.0001197845456525978
0.0,upstroke,3,600,-0.0001198275589308205
0.0,upstroke,4,800,-0.0001197772958912173
0.0,upstroke,5,1000,-0.0001197999807535116
1.0,upstroke,1,200,0.1085104837877567
1.0,upstroke,2,400,0.1085104686197544
1.0,upstroke,3,600,0.1085104697732673
1.0,upstroke,4,800,0.1085104699875886
1.0,upstroke,5,1000,0.1085104702661249
2.0,upstroke,1,200,0.2170712458113002
2.0,upstroke,2,400,0.217071241201013
2.0,upstroke,3,600,0.2170712415030293
2.0,upstroke,4,800,0.2170712415286678
2.0,upstroke,5,1000,0.2170712415447433
3.0,upstroke,1,200,0.3253811053274004
3.0,upstroke,2,400,0.3253810977714948
3.0,upstroke,3,600,0.3253811007828688
3.0,upstroke,4,800,0.3253811007043039
3.0,upstroke,5,1000,0.3253811006525124
4.0,upstroke,1,200,0.4330611955850869
4.0,upstroke,2,400,0.4330611934596539
4.0,upstroke,3,600,0.4330611928392554
4.0,upstroke,4,800,0.4330611926642042
4.0,upstroke,5,1000,0.4330611925621297
5.0,upstroke,1,200,0.5399070249825819
5.0,upstroke,2,400,0.5399070179882247
5.0,upstroke,3,600,0.5399070175689583
5.0,upstroke,4,800,0.5399070173809808
5.0,upstroke,5,1000,0.5399070172135271
6.0,upstroke,1,200,0.6458231647813977
6.0,upstroke,2,400,0.6458231548412654
6.0,upstroke,3,600,0.6458231541871614
6.0,upstroke,4,800,0.6458231537715938
6.0,upstroke,5,1000,0.6458231535181927
7.0,upstroke,1,200,0.7505152859171258
7.0,upstroke,2,400,0.7505152693981526
7.0,upstroke,3,600,0.7505152684232617
7.0,upstroke,4,800,0.7505152678207327
7.0,upstroke,5,1000,0.7505152674529877
8.0,upstroke,1,200,0.85364518237588
8.0,upstroke,2,400,0.8536451638527668
8.0,upstroke,3,600,0.8536451623818161
8.0,upstroke,4,800,0.8536451614612963
8.0,upstroke,5,1000,0.853645160901385
9.0,upstroke,1,200,0.9547449380207594
9.0,upstroke,2,400,0.9547449265007429
9.0,upstroke,3,600,0.9547449244770325
9.0,upstroke,4,800,0.9547449232140665
9.0,upstroke,5,1000,0.9547449224466815
10.0,upstroke,1,200,1.053159021104325
10.0,upstroke,2,400,1.053159008453256
10.0,upstroke,3,600,1.05315881821268
10.0,upstroke,4,800,1.053158960995413
10.0,upstroke,5,1000,1.05315900596166
11.0,upstroke,1,200,1.148310722946181
11.0,upstroke,2,400,1.148310703858397
11.0,upstroke,3,600,1.148310700500436
11.0,upstroke,4,800,1.148310698449774
11.0,upstroke,5,1000,1.148310697211946
12.0,upstroke,1,200,1.239266758816085
12.0,upstroke,2,400,1.239266663065351
12.0,upstroke,3,600,1.239266647850566
12.0,upstroke,4,800,1.239266729354714
12.0,upstroke,5,1000,1.239266655114941
12.0,upstroke,6,1200,1.239266643038493
12.0,upstroke,7,1400,1.239266726452863
12.0,upstroke,8,1600,1.239266653360913
12.0,upstroke,9,1800,1.239266641977178
12.0,upstroke,10,2000,1.23926672581009
13.0,upstroke,1,200,1.324873937707297
13.0,upstroke,2,400,1.324874049552692
13.0,upstroke,3,600,1.32487338852978
13.0,upstroke,4,800,1.324874511725938
13.0,upstroke,5,1000,1.324873832762609
13.0,upstroke,6,1200,1.324873706543991
13.0,upstroke,7,1400,1.324873731682539
13.0,upstroke,8,1600,1.324873822254375
13.0,upstroke,9,1800,1.324873995200915
13.0,upstroke,10,2000,1.324873581974108
14.0,upstroke,1,200,1.403568601085935
14.0,upstroke,2,400,1.40356779265744
14.0,upstroke,3,600,1.403567794751704
14.0,upstroke,4,800,1.403568125611541
14.0,upstroke,5,1000,1.403567322591148
14.0,upstroke,6,1200,1.403570066153903
14.0,upstroke,7,1400,1.403567231228267
14.0,upstroke,8,1600,1.403568330262116
14.0,upstroke,9,1800,1.403567817158706
14.0,upstroke,10,2000,1.403568304811112
15.0,upstroke,1,200,1.473069014775694
15.0,upstroke,2,400,1.473071347660412
15.0,upstroke,3,600,1.473073679907362
15.0,upstroke,4,800,1.473072571649032
15.0,upstroke,5,1000,1.473071490549258
15.0,upstroke,6,1200,1.473072823362279
15.0,upstroke,7,1400,1.473071529377289
15.0,upstroke,8,1600,1.473071711239162
15.0,upstroke,9,1800,1.47307075182181
15.0,upstroke,10,2000,1.473071459596625
16.0,upstroke,1,200,1.529848496139026
16.0,upstroke,2,400,1.529858816852881
